entity_type,entity_text,error_id
DIS,fires,MISLAB
DIS,fire,MISLAB
DIS,forrest fire,MISLAB
DIS,forrest fires,MISLAB
DIS,earthquake,MISLAB
DIS,earthquakes,MISLAB
DIS,drought,MISLAB
DIS,droughts,MISLAB
DIS,flood,MISLAB
DIS,floods,MISLAB
DIS,tsunami,MISLAB
DIS,tsunamis,MISLAB
DIS,eutrophication,MISLAB
DIS,water eutrophication,MISLAB
DIS,landslide,MISLAB
DIS,soil erosion,MISLAB
DIS,air pollution,MISLAB
DIS,hurricane,MISLAB
PNM,current,AMBIG
PNM,currents,AMBIG
PNM,haziness,AMBIG
PNM,waves,AMBIG
PNM,wave,AMBIG
PNM,precipitation,AMBIG
PNM,precipitations,AMBIG
PNM,stream,AMBIG
PNM,streams,AMBIG
DIS,%,MISLAB
DIS,&,MISLAB
